Bin,Article Name,Number of Images,Number of Sections,Number of Sentences,Number of Words,Number of References
Good,Rega_Planar_3,9,4,78,1947,27
Good,Mar%C3%ADa_del_Luj%C3%A1n_Telpuk,0,5,47,1177,16
Good,Crawley,34,17,338,8381,232
Good,Love_in_Several_Masques,3,8,102,2590,46
Good,John_Albert_Taylor,6,6,104,2335,36
Good,Military_career_of_Ian_Smith,7,6,173,4117,70
Good,Black_wildebeest,6,11,177,3684,36
Good,Fantastic_Four_in_film,1,6,53,1209,52
Good,The_Girl_Is_Mine,2,10,102,1940,40
Good,Quantitative_precipitation_forecast,3,8,57,1204,21
Good,"Mission:_Earth,_Voyage_to_the_Home_Planet",10,7,48,1180,19
Good,Handkea_utriformis,3,8,45,1025,20
Good,Vulture_Street_(album),2,11,68,1614,30
Good,Romania_in_the_Middle_Ages,17,11,324,8049,314
Good,South_Park,13,11,308,8482,240
Good,The_Almost_People,2,5,101,2518,32
Good,Fortification_of_Dorchester_Heights,3,7,48,1373,33
Good,New_York_State_Route_31B,4,6,17,396,10
Good,2016_Australian_Grand_Prix,5,6,126,3172,51
Good,Empire_State_of_Mind,5,15,232,6126,200
Good,Arthur_Irwin,4,8,131,2534,50
Good,B._J._Prager,0,7,37,723,33
Good,Sideshow_Bob%27s_Last_Gleaming,3,6,61,1566,11
Good,Falklands_%2782,3,4,42,1014,8
Good,Middlesex,14,7,142,3661,87
Good,New_Don_Pedro_Dam,3,8,68,1951,30
Good,Bertie%27s_Brainstorm,1,0,37,704,7
Good,Run_Baby_Run_(Garbage_song),1,11,52,1227,38
Good,Sir_Lucious_Left_Foot:_The_Son_of_Chico_Dusty,5,10,213,5175,160
Good,Who_Is_It_(Michael_Jackson_song),1,7,49,979,33
Good,John_Fenn_(chemist),3,7,100,2180,16
Good,Operation_Doomsday,2,6,109,3226,37
Good,File:Nuvola_apps_edu_science.svg,1,0,5,55,0
Good,Ultimate_Marvel_vs._Capcom_3,4,6,81,2067,63
Good,Ashland_Community_and_Technical_College,2,7,74,2390,31
Good,Rally_to_Restore_Sanity_and%2For_Fear,13,7,106,2964,68
Good,Get_Me_Bodied,6,13,186,4184,92
Good,Burundi_women%27s_national_football_team,6,5,33,639,26
Good,Vilayet_Printing_House_(Sarajevo),3,5,103,2324,23
Good,Hurt:_The_EP,2,8,65,1521,34
Good,Perfectionist_(album),4,10,127,2713,87
Good,Society_Hill_(Body_of_Proof),1,5,47,1306,14
Good,Delaware_Route_404,10,7,85,1558,17
Good,Harry_Potter_and_the_Forbidden_Journey,10,6,89,2424,50
Good,Cillian_Sheridan,2,6,70,1665,92
Good,University_of_the_Philippines_Los_Ba%C3%B1os_College_of_Forestry_and_Natural_Resources,3,7,76,1710,65
Good,Fighter_Squadron_RAAF,2,0,31,724,18
Good,Catalysts_(The_Spectacular_Spider-Man),2,5,67,1618,18
Good,Typhoon_Nelson_(1985),3,5,65,1104,25
Good,Cars_(film),7,11,222,5737,78
Good,The_Italian_Job_(2003_film),2,8,128,3537,60
Good,Bath_Abbey,17,9,159,3719,78
Good,Fizeau%E2%80%93Foucault_apparatus,5,7,65,1811,21
Good,Stephen_V_B%C3%A1thory,3,6,46,1088,13
Good,Pieter_Nuyts,9,11,58,1839,19
Good,1993_FA_Charity_Shield,3,6,74,1766,27
Good,Typhoon_Maysak_(2015),8,6,106,2171,56
Good,Big_Bang_(South_Korean_band),7,9,257,6237,191
Good,Avro_Canada_VZ-9_Avrocar,11,7,194,5095,38
Good,Gnome_Motion_Picture_Company,4,3,50,1185,7
Good,Hatfield_Government_Center_(MAX_station),3,4,45,861,12
Good,La_fille_aux_cheveux_de_lin,5,5,44,1107,17
Good,Bristol_Parkway_railway_station,371,8,99,2568,76
Good,Mercyful_Fate,1,6,61,1517,35
Good,Polio_vaccine,9,7,146,3366,74
Good,"Manor_House,_Sleaford",2,3,85,1559,41
Good,The_Adventures_of_Totor,3,5,83,1998,24
Good,Jose_Calugas,31,8,67,1465,24
Good,Testaroli,5,9,35,799,24
Good,Llantwit_Major,22,10,150,4084,52
Good,"Ready,_Set,_Don%27t_Go",4,7,54,1149,24
Good,Troilus,18,6,443,11167,183
Good,FU_(song),1,6,60,1158,26
Good,Hector-class_ironclad,1,6,62,1350,20
Good,Texas_annexation,18,10,242,6441,204
Good,Yesterday%27s_Enterprise,2,6,145,3488,41
Good,The_Boys_in_the_Bar,1,6,59,1290,24
Good,Battle_of_Thermopylae,12,14,303,7721,155
Good,Ugg_boots_trademark_dispute,4,5,76,2285,46
Good,Sultan_Ali_of_Johor,0,4,64,1697,30
Good,Evanton,10,12,104,2437,33
Good,Lord_Howe_Island,33,12,307,8094,169
Good,1968_Liberty_Bowl,1,6,55,1392,14
Good,Battle_of_Hubbardton,6,9,62,1653,34
Good,New_Jersey_Route_53,8,6,35,797,9
Good,Ctenophora,12,8,210,5833,77
Good,Hurricane_Allison_(1995),3,5,46,908,9
Good,French_battleship_Carnot,2,4,47,965,12
Good,BBD_(song),2,8,38,1003,27
Good,Ytterbium,6,10,132,3094,47
Good,Alan_Shearer,5,10,215,6425,146
Good,Hj%C3%BAki_and_Bil,4,5,32,1031,16
Good,Pyramids_(song),2,8,85,2159,49
Good,The_Carpet,1,6,51,1160,13
Good,Arcade_Fire,11,7,195,4664,99
Good,LocoRoco,3,10,100,2803,46
Good,Ontario_Highway_58,2,4,64,1616,24
Good,Aboriginal_title_in_the_Taney_Court,5,4,128,3100,43
Good,Nathan_Horton,4,6,136,2879,95
Good,Non-intervention_in_the_Spanish_Civil_War,3,4,171,3710,102
Good,Paul_London,7,7,134,2919,124
Good,2012_United_States_federal_budget,6,7,84,2467,51
Good,Mongrels_(TV_series),2,11,130,2820,31
Good,Falkner_Island_Light,7,8,63,1202,15
Good,Architecture_of_Denmark,44,11,218,5531,88
Good,The_Fighting_Irish,1,4,30,816,12
Good,Roger_Miller,2,10,138,2713,23
Good,Autobiography_(Ashlee_Simpson_album),1,10,96,2677,72
Good,Standing_Up_in_the_Milky_Way,3,5,41,1182,29
Good,Yugoslav_monitor_Drava,3,5,87,2235,39
Good,Giuseppe_Verdi,29,8,421,10725,209
Good,Tan_Chay_Wa%27s_tombstone_trial,2,4,39,1040,7
Good,SummerSlam_(1988),2,10,107,2704,27
Good,The_Chariot_(band),3,9,107,2159,46
Good,Beacon_Park,14,7,65,1452,19
Good,Cannon_Fodder_3,2,4,66,1572,18
Good,1916_Irondale_earthquake,3,6,70,1541,13
Good,Action_of_13_March_1806,3,5,80,2405,26
Good,Harold_Washington_Cultural_Center,3,8,76,1679,21
Good,Automonopoli,3,5,21,714,13
Good,Mark_Soyer,3,0,45,930,18
Good,Ipswich_serial_murders,7,11,149,3759,98
Good,The_Girl_with_the_Dragon_Tattoo_(2011_film),5,8,241,5423,129
Good,GJ_3634,0,4,34,770,5
Good,"Tom_Vilsack_presidential_campaign,_2008",4,6,56,1252,19
Good,The_Boat_(The_Office),1,6,70,1558,19
Good,Mount_Tehama,5,8,54,1147,10
Good,American_football,22,12,310,7850,172
Good,Customer_Loyalty_(The_Office),4,5,100,2318,29
Good,Sheng_nu,8,6,115,3030,48
Good,In_the_Name_of_the_Grandfather,6,7,101,2259,36
Good,Honesty_(Billy_Joel_song),2,10,71,1479,62
Good,Michael_(Glee),6,5,127,4096,49
Good,Maryland_Route_363,5,7,30,704,19
Good,Match_Point,2,8,121,2891,23
Good,Imperial_War_Museum_Duxford,14,15,192,4800,97
Good,Blown_Away_(song),3,7,108,2282,46
Good,Hurricane_Gladys_(1975),4,4,47,969,15
Good,Monifieth,7,14,146,3633,76
Good,Polyethnicity,3,7,75,1867,52
Good,Don%27t_Forget_About_Us,2,13,112,3019,69
Good,"Kirkenes_Airport,_H%C3%B8ybuktmoen",8,6,139,2666,44
Good,Chris_Sheridan_(writer),0,6,52,1052,22
Good,Hopeville_Pond_State_Park,1,5,46,893,9
Good,Eddie_Zosky,0,8,123,3099,70
Good,French_battleship_I%C3%A9na,3,5,84,1826,13
Good,Orphanotrophos,2,4,34,1112,29
Good,Pussy_Riot,8,12,392,9690,265
Good,Ayn_Rand,9,6,262,6482,214
Good,U-48_class_submarine,1,5,23,520,5
Good,International_Bank_for_Reconstruction_and_Development,2,7,45,1079,21
Good,Jan_Matejko,30,9,93,2225,41
Good,Varahi,9,9,123,2417,34
Good,Up!_Live_in_Chicago,1,9,108,1950,29
Good,Hurva_Synagogue,14,14,223,5381,82
Good,Brachytherapy,5,12,160,4016,84
Good,Stevie_Dickinson,1,6,76,1688,19
Good,The_Prince_of_Egypt,6,8,118,3319,45
Good,Renown-class_battlecruiser,10,8,265,6184,65
Good,Alfred_D%C3%B6blin,12,9,173,4918,111
Good,Sheng_Long,3,5,65,2044,31
Good,Princess_Elisabeth_of_Hesse_and_by_Rhine_(1895%E2%80%931903),8,9,81,1570,22
Good,Rachel_Weisz,4,6,103,2471,111
Good,Stig_Inge_Bj%C3%B8rnebye,0,9,54,1439,32
Good,Family_in_advertising,3,5,65,1604,23
Good,Short-tail_stingray,8,7,88,1997,25
Good,Transformers:_Fall_of_Cybertron,4,9,156,3240,57
Good,Great_Britain_at_the_1992_Winter_Paralympics,5,9,33,846,18
Good,1954_Guatemalan_coup_d%27%C3%A9tat,15,10,432,10225,170
Good,Berghuis_v._Thompkins,3,7,93,3516,46
Good,Zita_of_Bourbon-Parma,10,14,190,4364,11
Good,Metroid_Prime_Pinball,3,5,68,1885,40
Good,Connie_Talbot%27s_Christmas_Album,1,5,37,799,24
Good,Apex_Hides_the_Hurt,2,6,36,1078,20
Good,1920_Hammond_Pros_season,0,6,71,1350,28
Good,John_Capper,3,7,60,1654,15
Good,Australia_national_baseball_team,18,8,101,2455,73
Good,Leicester_Abbey,16,10,181,4892,28
Good,Inchdrewer_Castle,4,5,62,1471,39
Good,Rescued_by_Rover,1,6,50,1231,22
Good,Hershey_Creamery_Company,3,5,82,2294,22
Good,The_Operative:_No_One_Lives_Forever,5,9,302,7578,90
Good,The_Homer_They_Fall,2,6,60,1395,13
Good,We_Remain,1,7,31,669,33
Good,Battle_of_Marion,7,7,107,2068,27
Good,Neotrypaea_californiensis,2,4,28,706,16
Good,Action_of_12_May_1796,0,5,53,1737,9
Good,Joanne_Gair,4,9,122,2768,66
Good,Deeping_Fen,6,5,103,2863,20
Good,"Tom_Tancredo_presidential_campaign,_2008",5,7,96,2371,35
Good,Joseph_Dudley,10,11,186,4440,103
Good,Mariah_Carey_(album),1,12,160,3481,81
Good,Antonio_C%C3%A1rdenas_Guill%C3%A9n,1,6,164,4201,78
Good,SMS_Erzherzog_Ferdinand_Max,4,6,40,938,9
Good,Music_of_Italy,9,12,364,9086,68
Good,1963_Syrian_coup_d%27%C3%A9tat,7,6,152,3609,47
Good,Hell_Money,2,5,77,1705,14
Good,The_Juice_Is_Loose,2,5,44,1079,8
Good,The_Boys_in_the_Bar,1,6,59,1290,24
Good,Walter_Potter,3,5,28,847,12
Good,Scorpion-class_ironclad,1,5,69,1552,11
Good,James_Balfour_(died_1845),7,5,71,1702,34
Good,Battle_of_the_Barracks,7,7,197,5202,120
Good,Emma_Pillsbury,3,6,190,4149,55
Good,SMS_Bremse,2,5,83,1903,18
Good,World_Series_of_Poker_Casino_Employee_Championship,1,5,35,741,24
Good,Mike_Heath_(swimmer),4,9,34,965,28
Good,Judaism_in_Rugrats,9,5,62,1524,34
Good,The_Chariot_(band),3,9,107,2159,46
Good,Prime7,11,7,92,2390,33
Good,"Ave_Imperator,_morituri_te_salutant",3,6,69,2365,49
Good,Subtropical_Storm_Nicole_(2004),4,5,46,997,18
Good,Showmance_(Glee),3,6,64,1788,25
Good,Birmingham,53,17,376,11061,316
Good,SMS_Budapest,6,6,69,1537,17
Good,Leonore_Annenberg,3,9,57,1291,25
Good,Cody_Asche,4,6,97,2360,45
Good,Tenjho_Tenge,4,9,88,2016,54
Good,Dolphinarium,5,8,61,1637,20
Good,220th_Military_Police_Brigade_(United_States),3,6,32,871,10
Good,Reg_Pollard_(general),4,6,85,2446,55
Good,Daniel_S._Schanck_Observatory,3,4,28,806,20
Good,Save_the_Last_One,4,5,79,1877,16
Good,HMS_Zubian,3,5,36,735,14
Good,Washington_State_Route_27,4,5,28,875,41
Good,Around_the_World_(Christina_Aguilera_song),1,7,42,858,20
Good,You_Ain%27t_Goin%27_Nowhere,1,5,49,1641,46
Good,Job_Fair_(The_Office),0,5,36,843,9
Good,Tim_Richmond,5,8,176,3199,29
Good,Interstate_215_(Utah),9,4,79,1665,24
Good,Grey%27s_Anatomy_(season_3),3,6,210,6140,69
Good,Neferhotep_I,6,5,82,2539,56
Good,Colin_McCool_with_the_Australian_cricket_team_in_England_in_1948,3,8,159,3536,67
Good,Hong_Kong,45,12,398,10697,275
Good,Metformin,6,11,185,4475,147
Good,Richard_von_Weizs%C3%A4cker,15,12,213,5514,146
Good,Lodewijk_van_den_Berg,5,7,37,950,8
Good,Minnesota_State_Highway_610,6,7,43,903,19
Good,"Wolf_Point,_Chicago",7,6,58,1649,48
Good,Operation_Ring,3,8,86,2524,49
Good,Pipe_rolls,3,11,139,3819,100
Good,"It%27s_a_Good_Life,_If_You_Don%27t_Weaken",8,8,108,2494,66
Good,Igbo_Landing,4,7,57,1357,16
Good,"Papal_election,_1268%E2%80%931271",7,6,46,1520,34
Good,Love_the_Way_You_Lie_(Part_II),1,9,58,1445,24
Good,Kirk_Cameron,2,9,74,1779,60
Good,William_Stoughton_(Massachusetts),9,8,103,2449,52
Good,Slavery_by_Another_Name,1,6,54,1598,26
Good,Belle_(Disney),4,6,247,7655,198
Good,901_New_York_Avenue,3,6,99,2060,33
Good,Qualcomm_Snapdragon,1,5,88,1840,85
Good,North_American_river_otter,13,9,317,6100,47
Good,Ontological_argument,7,6,221,5439,62
Good,William_Burnet_(colonial_administrator),6,7,94,2530,50
Good,Vintage_amateur_radio,11,8,51,1374,18
Good,Klein_Bikes,5,8,42,1070,56
Good,Nuckelavee,3,5,39,1153,32
Good,Mike_Kafka,3,7,319,6368,172
Good,Ronald_Reagan_Presidential_Library,11,9,74,2063,41
Good,USS_Concord_(PG-3),3,5,75,1894,9
Good,Chose_Promise,8,6,42,1271,35
Good,Oswald_of_Northumbria,7,10,79,2768,37
Good,The_Boat_Race_1873,6,5,18,474,12
Good,Clyde_Bruckman%27s_Final_Repose,3,6,117,3045,31
Good,Sometimes_a_Great_Notion_(Battlestar_Galactica),1,5,117,2838,12
Good,John_Hummer,0,5,64,1386,27
Good,Leslie_Nielsen,10,9,169,3466,88
Good,Radyr,14,14,174,4219,79
Good,Jugband_Blues,0,6,35,763,17
Good,Singapura_cat,5,4,54,1277,13
Good,Bia%C5%82ystok,40,19,205,5029,144
Good,Delaware_Route_4,6,6,48,1166,20
Good,Secrets_(The_Walking_Dead),6,5,141,3021,26
Good,Silent_Hill_2,3,8,166,4300,111
Good,"Salford,_Greater_Manchester",24,15,331,8130,193
Good,Episode_4_(Twin_Peaks),1,6,58,1579,25
Good,SMS_Hertha,4,5,53,1014,14
Good,Class_A_Wild_Trout_Waters,5,8,59,1418,12
Good,Adelaide_Rams,7,9,108,3727,21
Good,Bowie_Seamount,7,8,76,2119,12
Good,Italian_cruiser_Liguria,2,4,54,1115,23
Good,Humphrey_Marshall_(politician),6,8,180,3981,54
Good,High_Five_Interchange,5,6,39,1069,14
Good,New_York_State_Route_59,7,6,76,1525,26
Good,"Mount_Osmond,_South_Australia",10,9,83,2164,23
Good,Sooner_or_Later_(Madonna_song),0,8,62,1414,33
Good,James_McCune_Smith,1,8,144,3317,35
Good,Bart%27s_Dog_Gets_an_%22F%22,2,6,56,1301,14
Good,Pitfour_estate,8,12,154,3556,83
Good,French_battleship_Condorcet,2,5,58,1290,8
Good,Jeff_Hanneman,4,10,83,1977,36
Good,HMS_Renown_(1916),7,7,158,3567,38
Good,XCOM:_Enemy_Unknown,3,10,151,3871,103
Good,Operation_Zarb-e-Azb,21,13,130,3068,249
Good,Plum_cake,9,6,46,1321,33
Good,Null_(SQL),2,17,188,5700,34
Good,70th_Infantry_Division_(United_Kingdom),13,6,231,5313,144
Good,Large_Black_pig,4,5,55,1520,24
Good,Pennsylvania_Route_546,5,6,20,440,10
Good,Money_in_the_Bank_(2011),8,8,155,3810,77
Good,Home_Soil,0,6,57,1406,11
Good,Faversham,9,12,197,4149,119
Good,Olive_Trees_(Van_Gogh_series),24,8,89,2213,39
Good,Fensalir,2,4,23,635,14
Good,Sword_of_Mana,2,6,98,2604,31
Good,Tropical_Storm_Gert_(2005),3,6,47,1272,19
Good,Aaron_Saxton,4,6,74,1647,46
Good,2008_Georgia_sugar_refinery_explosion,2,7,123,2680,36
Good,Cyclone_Alby,4,4,68,1366,19
Good,Jenks%27_Day_Off,1,5,46,925,9
Good,Black_bean_aphid,6,8,74,1468,12
Good,Two_Cars_in_Every_Garage_and_Three_Eyes_on_Every_Fish,4,7,98,2622,39
Good,Gowanus_Canal,14,6,156,4265,37
Good,Blue_carbon,4,10,170,4127,43
Good,Marchantiophyta,12,8,77,1926,45
Good,Berghuis_v._Thompkins,3,7,93,3516,46
Good,Tropical_Storm_Julio_(2008),4,4,32,703,23
Good,Animal_Rights_Without_Liberation,8,6,147,4364,105
Good,The_Rings_of_Akhaten,1,5,94,2443,30
Good,City_of_Death,5,7,112,3255,51
Good,YuYu_Hakusho,4,6,220,5490,153
Good,"Valley_View_(Romney,_West_Virginia)",10,7,167,3845,40
Good,Washington_State_Route_22,7,6,31,975,19
Good,Lance_Bass,5,6,177,4264,99
Good,American_Life_(song),4,13,149,3026,55
Good,Re_Umberto-class_ironclad,6,6,56,1424,16
Good,Italian_cruiser_Vettor_Pisani,2,6,45,1084,15
Good,The_Actor%27s_Children,2,9,64,1233,11
Good,Call_It_Stormy_Monday_(But_Tuesday_Is_Just_as_Bad),3,7,116,2758,43
Good,Job_Fair_(The_Office),0,5,36,843,9
Good,Anytime_You_Need_a_Friend,2,15,130,3475,77
Good,Mouna_Ragam,6,12,187,4308,106
Good,SS_Suevic,7,7,77,1687,9
Good,Jessica_Hardy,7,11,87,2063,52
Good,Italian_cruiser_Calabria,3,5,48,1063,17
Good,M-64_(Michigan_highway),5,6,59,1204,23
Good,Max_Weinberg,5,9,262,6541,101
Good,Vivah,1,8,83,1687,35
Good,Effects_of_Hurricane_Dean_in_Mexico,5,5,83,2020,37
Good,Ariel_Meredith,1,4,25,479,13
Good,"Ipswich_Road,_Colchester",7,5,63,1267,31
Good,Pusher_(The_X-Files),2,6,86,1962,22
Good,2009_Dickies_500,27,4,158,2627,26
Good,Borderline_(Madonna_song),3,13,125,2827,70
Good,Juventus_F.C.,53,18,211,6478,163
Good,Hurricane_Isaac_(2006),4,5,39,751,11
Good,Dano-Swedish_War_(1658%E2%80%931660),11,6,233,4859,47
Good,Ars%C3%A8ne_Wenger,11,14,462,10540,381
Good,New_Jersey_Route_33,12,9,92,2011,23
Good,"Liberal_Party_of_Australia_leadership_spill,_2009",8,7,91,1951,62
Good,Hafnium,11,9,110,2656,61
Good,Don%27t_Stop_%27Til_You_Get_Enough,3,14,73,1706,56
Good,Carancahua_Bay,4,5,62,1427,18
Good,Argentine%E2%80%93Chilean_naval_arms_race,7,7,69,1832,20
Good,The_Sweetest_Apu,2,7,48,1106,11
Good,Battle_of_Pakchon,7,7,244,6999,92
Good,Vector_space,16,14,258,7972,120
Good,Fuck_Them_All,2,14,96,2556,73
Good,Honey_(Moby_song),2,9,52,1161,41
Good,1970_Canada_hurricane,3,5,56,1115,7
Good,Sogen_Kato,4,5,71,1599,19
Good,Friday_(Rebecca_Black_song),6,9,156,3354,128
Good,Death_of_Benito_Mussolini,18,7,169,4225,76
Good,Washington_Park_(Chicago_park),12,6,51,1212,24
Good,Tom_Peterson,3,8,103,2070,25
Good,HMS_Hyperion_(H97),1,6,45,1066,14
Good,Jean_Abraham_Grill,6,9,85,1917,35
Good,Fuji-class_battleship,6,8,87,2116,43
Good,Lucky_and_Squash,4,6,30,825,14
Good,Serranus_Clinton_Hastings,4,6,78,1459,20
Good,Battle_of_Torrence%27s_Tavern,3,4,44,1471,16
Good,Battle_of_Jerusalem_(1917),27,6,370,9865,161
Good,The_Boat_Race_1900,7,5,23,587,16
Good,Isaac_Parsons_(American_military_officer),12,9,112,2853,43
Good,United_States_Declaration_of_Independence,19,12,339,10117,192
Good,Sinosauropteryx,11,7,132,3306,29
Good,Chi_(Chobits),1,6,85,1976,38
Good,%C3%86thelbert_of_York,0,7,39,803,21
Good,Minneapolis_wireless_internet_network,5,6,72,2145,21
Good,Mark_Hatfield,9,6,150,3582,68
Good,Zita_of_Bourbon-Parma,10,14,190,4364,11
Good,Roosters_(Millennium),0,5,40,1093,13
Good,Super_Mario_Kart,6,5,161,4273,64
Good,Mauritania_at_the_2008_Summer_Olympics,1,4,20,426,13
Good,1st_Army_(Kingdom_of_Yugoslavia),3,7,60,1753,31
Good,Wimbledon_and_Sutton_Railway,39,5,72,2403,34
Good,Soviet_Strike,2,5,83,2110,15
Good,Pinewood_Derby_(South_Park),0,8,57,1516,21
Good,Alfred_North_Whitehead,10,10,325,9278,195
Good,Hwa_Chong_Institution,15,11,190,4866,70
Good,Rob_Roy_(dog),2,5,15,328,8
Good,Italian_ironclad_Enrico_Dandolo,4,4,45,1036,13
Good,Littlest_Things,2,10,52,1325,20
Good,Schoolin%27_Life,1,8,94,2156,30
Good,Miracle_Science_and_Fantasy_Stories,1,4,17,389,5
Good,Solar_power_plants_in_the_Mojave_Desert,14,6,107,2594,40
Good,Altoona_and_Beech_Creek_Railroad,3,8,84,1813,14
Good,1990_New_York_Giants_season,0,11,165,3833,56
Good,German_destroyer_Z5_Paul_Jacobi,5,6,111,2514,29
Good,Nation_Alliance_Party,0,7,30,733,25
Good,Harlech_Castle,8,7,74,2121,47
Good,Battle_of_Hama,1,5,66,1726,22
Good,Mississippi_Highway_9W,1,4,15,295,5
Good,Hymns_for_the_Amusement_of_Children,9,6,56,1585,26
Good,Johnny_Broderick,3,7,117,2981,37
Good,Hari%27s_on_Tour_(Express),4,9,91,2871,143
Good,Headline_News_(song),2,10,64,1610,28
Good,John_Stossel,2,9,143,3608,90
Good,Foguang_Temple,6,6,62,1333,27
Good,Borders_Railway,78,8,215,6090,122
Good,Everything_That_Happens_Will_Happen_Today,10,9,195,5855,209
Good,Phoenix_(fireboat),5,6,85,1812,33
Good,Bulldog_Drummond,6,8,76,2032,131
Good,...Baby_One_More_Time_(song),9,16,250,5694,173
Good,Pilotwings,5,5,63,1631,51
Good,Nivatogastrium_nubigenum,3,5,52,1003,16
Good,Eva_Braun,7,7,105,2183,63
Good,94_Meetings,1,6,62,1588,13
Good,You_Don%27t_Know_Anything,1,8,20,457,9
Good,Radioland_Murders,1,7,73,1723,18
Good,A_Ghost_Is_Born,1,9,77,1711,42
Good,Losing_My_Religion_(Grey%27s_Anatomy),1,5,69,1641,22
Good,New_York_State_Route_386,7,6,49,1233,13
Good,Libert%C3%A9_class_battleship,4,4,52,1242,12
Good,Mary_Young_Pickersgill,11,8,71,2297,18
Good,The_Rejected,2,7,46,1048,23
Good,HD_217107_b,0,4,7,246,3
Good,HMS_Amazon_(1799),3,6,63,1503,14
Good,Sleaford_Navigation,46,7,108,2746,37
Good,Thomas_Hines,5,7,131,2885,25
Good,Croatia%E2%80%93Serbia_border_dispute,5,6,84,2399,54
Good,Leonardo_da_Vinci,46,11,302,8450,142
Good,Buxbaumia,2,5,37,845,20
Good,Amanita_nothofagi,6,6,45,983,4
Good,Interstate_155_(Illinois),4,4,40,774,7
Good,Joe_Danger,3,7,125,3045,82
Good,Back_to_the_Shack,2,6,36,795,33
Good,Keating!,1,8,99,2437,31
Good,A1_in_London,10,5,100,3578,79
Good,Smoke_Gets_in_Your_Eyes_(Mad_Men),3,5,169,3812,37
Good,House_of_Lords_Act_1999,4,8,101,2570,48
Good,Charles_Pomeroy_Stone,10,8,138,3509,35
Good,Battle_of_Solachon,4,6,62,1621,18
Good,Last_Exit_on_Brooklyn,3,6,23,549,18
Good,"Church_of_St_Peter,_Berende",6,4,36,927,5
Good,The_Years_of_Rice_and_Salt,4,9,137,4272,27
Good,Casimir_Pulaski,16,10,201,4627,63
Good,Time_and_Eternity_(philosophy_book),3,0,84,2093,23
Good,Donald_Cousens_Parkway,3,5,68,1855,21
Good,Lindsay_Merritt_Inglis,3,7,73,1553,16
Good,Al-Ma%CA%BFarri,1,9,84,1782,27
Good,Ian_Hummer,2,6,89,1873,76
Good,Talon_(roller_coaster),3,6,26,555,27
Good,Sasuke_Uchiha,7,5,114,3031,81
Good,Speed_Grapher,2,5,69,1399,41
Good,Adolf_Anderssen,13,11,94,2454,49
Good,Interstate_695_(Maryland),8,8,130,3518,42
Good,Zhu_De,44,4,76,1670,51
Good,National_War_Memorial_(South_Australia),15,6,105,3537,60
Good,The_Living_Daylights,8,8,115,3026,40
Good,SS_Tubantia,2,7,58,1441,17
Good,The_French_Connection_(ice_hockey),2,6,84,1789,23
Good,Hurricane_Ethel_(1960),4,6,76,1604,15
Good,Gangnam_Style,14,16,312,8995,420
Good,Michelle_McCool,8,9,149,3219,70
Good,Treaty_of_Ciudad_Ju%C3%A1rez,8,5,88,2257,14
Good,M-13_(Michigan_highway),5,7,58,1235,21
Good,"Komm,_du_s%C3%BC%C3%9Fe_Todesstunde,_BWV_161",5,8,60,1518,13
Good,Peter_Ostrum,1,4,39,1185,13
Good,Tommy_Flanagan,1,8,104,2394,63
Good,Poet_Laureate_of_New_Jersey,4,6,72,2011,41
Good,M-53_(Michigan_highway),6,7,83,1755,29
Good,Taapsee_Pannu,5,6,52,1108,47
Good,Hurricane_Donna,6,8,256,4708,49
Good,Star_Trek,18,14,249,6151,121
Good,Jurassic_Park_(song),2,10,61,1489,28
Good,Jack_the_Bulldog,5,8,87,2061,59
Good,Bani_Na%27im,5,10,146,2905,36
Good,M-115_(Michigan_highway),3,6,54,986,25
Good,De_Havilland_Comet,29,13,292,8226,217
Good,Diving_cylinder,61,14,265,8306,95
Good,Nj%C3%B6r%C3%B0r,10,7,94,2616,40
Good,Billy%27s_Bucket_List,1,4,44,1143,17
Good,Allegra_Byron,5,8,107,2748,32
Good,M-50_(Michigan_highway),5,7,79,1795,25
Good,NSB_Di_6,5,3,93,1814,32
Good,Kepler-9b,1,0,24,524,10
Good,Gump_Roast,1,8,51,1280,17
Good,Action_off_Lofoten,2,5,42,989,18
Good,Rage_Against_the_Machine,3,9,190,4999,110
Good,Sasuke_Uchiha,7,5,114,3031,81
Good,HMS_Implacable_(R86),6,6,144,3372,51
Good,English_cannon,9,5,76,1943,17
Good,Golden_Ambrosian_Republic,6,4,117,2677,46
Good,Sweets_and_Sour_Marge,3,6,77,1634,12
Good,Resident_Evil_4,6,8,220,5388,170
Good,Military_history_of_Gibraltar_during_World_War_II,13,16,189,4761,48
Good,The_Harbingers,2,6,72,1617,50
Good,Charles_Lydiard,4,6,87,2170,26
Good,Nicole_Haislett,4,8,29,834,25
Good,Kenneth_Strong,3,7,91,2177,30
Good,The_Bubble_(30_Rock),2,6,76,1757,31
Good,Coat_of_arms_of_Munich,10,6,44,1203,6
Good,Obsidian_(1986_video_game),1,5,48,1064,5
Good,Lower_limbs_venous_ultrasonography,18,12,187,4314,74
Good,The_Climb_(Miley_Cyrus_song),7,13,183,4279,120
Good,Government_of_Japan,19,9,176,4325,89
Good,Gjirokast%C3%ABr,32,17,124,2923,66
Good,Korkoro,6,7,185,4938,49
Good,Calvin_McCarty,1,5,109,2267,51
Good,Live%27r_Than_You%27ll_Ever_Be,9,6,24,685,15
Good,"Manor_Farm,_Ruislip",6,3,61,1467,19
Good,"Rough_Landing,_Holly",1,7,56,1286,23
Good,Gadsden_Purchase,10,11,210,5471,53
